type,unit,label,labelLang,symbol,definition
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/micromole,micromole,en,μmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/micromole,micromol,nl,μmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/millimole,millimole,en,mmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/millimole,millimol,nl,mmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/centimole,centimole,en,cmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/centimole,centimol,nl,cmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decimole,decimole,en,dmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decimole,decimol,nl,dmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decamole,decamole,en,damol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decamole,decamol,nl,damol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/hectomole,hectomole,en,hmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/hectomole,hectomol,nl,hmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/kilomole,kilomole,en,kmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/kilomole,kilomol,nl,kmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/megamole,megamole,en,Mmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/megamole,megamol,nl,Mmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gigamole,gigamole,en,Gmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gigamole,gigamol,nl,Gmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/teramole,teramole,en,Tmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/teramole,teramol,nl,Tmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petamole,petamole,en,Pmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petamole,petamol,nl,Pmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/examole,examole,en,Emol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/examole,examol,nl,Emol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettamole,zettamole,en,Zmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettamole,zettamol,nl,Zmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottamole,yottamole,en,Ymol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottamole,yottamol,nl,Ymol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctocandela,yoctocandela,en,ycd,The yoctocandela is a unit of luminous intensity defined as 1.0e-24 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctocandela,yoctocandela,nl,ycd,The yoctocandela is a unit of luminous intensity defined as 1.0e-24 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptocandela,zeptocandela,en,zcd,The zeptcandela is a unit of luminous intensity defined as 1.0e-21 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptocandela,zeptocandela,nl,zcd,The zeptcandela is a unit of luminous intensity defined as 1.0e-21 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attocandela,attocandela,en,acd,The attocandela is a unit of luminous intensity defined as 1.0e-18 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attocandela,attocandela,nl,acd,The attocandela is a unit of luminous intensity defined as 1.0e-18 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picocandela,picocandela,en,pcd,The picocandela is a unit of luminous intensity defined as 1.0e-12 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picocandela,picocandela,nl,pcd,The picocandela is a unit of luminous intensity defined as 1.0e-12 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtocandela,femtocandela,en,fcd,The femtocandela is a unit of luminous intensity defined as 1.0e-15 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtocandela,femtocandela,nl,fcd,The femtocandela is a unit of luminous intensity defined as 1.0e-15 candela.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nanocandela,nanocandela,en,ncd,The nanocandela is a unit of luminous intensity defined as 1.0e-9 candela.
